time,moving from index,moving to index,report
1,8,107,DAY 02/11/2024 - moved 1 animals from property ID 8 (farm) to property ID 107 (feedlot)
1,17,101,DAY 02/11/2024 - moved 1 animals from property ID 17 (farm) to property ID 101 (farm)
1,26,137,DAY 02/11/2024 - moved 3 animals from property ID 26 (stud farm) to property ID 137 (trader)
1,26,193,DAY 02/11/2024 - moved 2 animals from property ID 26 (stud farm) to property ID 193 (farm)
1,26,291,DAY 02/11/2024 - moved 2 animals from property ID 26 (stud farm) to property ID 291 (saleyard)
1,26,18,DAY 02/11/2024 - moved 2 animals from property ID 26 (stud farm) to property ID 18 (farm)
1,31,212,DAY 02/11/2024 - moved 2 animals from property ID 31 (farm) to property ID 212 (trader)
1,72,291,DAY 02/11/2024 - moved 3 animals from property ID 72 (farm) to property ID 291 (saleyard)
1,99,26,DAY 02/11/2024 - moved 1 animals from property ID 99 (farm) to property ID 26 (stud farm)
1,107,143,DAY 02/11/2024 - moved 8 animals from property ID 107 (feedlot) to property ID 143 (abbattoir)
1,137,26,DAY 02/11/2024 - moved 26 animals from property ID 137 (trader) to property ID 26 (stud farm)
1,137,91,DAY 02/11/2024 - moved 26 animals from property ID 137 (trader) to property ID 91 (farm)
1,137,212,DAY 02/11/2024 - moved 26 animals from property ID 137 (trader) to property ID 212 (trader)
1,139,143,DAY 02/11/2024 - moved 15 animals from property ID 139 (saleyard) to property ID 143 (abbattoir)
1,139,94,DAY 02/11/2024 - moved 15 animals from property ID 139 (saleyard) to property ID 94 (farm)
1,139,230,DAY 02/11/2024 - moved 15 animals from property ID 139 (saleyard) to property ID 230 (farm)
1,139,143,DAY 02/11/2024 - moved 15 animals from property ID 139 (saleyard) to property ID 143 (abbattoir)
1,142,163,DAY 02/11/2024 - moved 1 animals from property ID 142 (farm) to property ID 163 (farm)
1,150,290,DAY 02/11/2024 - moved 12 animals from property ID 150 (trader) to property ID 290 (feedlot)
1,164,107,DAY 02/11/2024 - moved 18 animals from property ID 164 (farm) to property ID 107 (feedlot)
1,171,73,DAY 02/11/2024 - moved 5 animals from property ID 171 (trader) to property ID 73 (farm)
1,171,120,DAY 02/11/2024 - moved 5 animals from property ID 171 (trader) to property ID 120 (farm)
1,218,235,DAY 02/11/2024 - moved 2 animals from property ID 218 (farm) to property ID 235 (farm)
1,224,180,DAY 02/11/2024 - moved 1 animals from property ID 224 (farm) to property ID 180 (farm)
1,262,26,DAY 02/11/2024 - moved 1 animals from property ID 262 (farm) to property ID 26 (stud farm)
1,272,143,DAY 02/11/2024 - moved 5 animals from property ID 272 (feedlot) to property ID 143 (abbattoir)
1,277,241,DAY 02/11/2024 - moved 3 animals from property ID 277 (saleyard) to property ID 241 (farm)
1,277,256,DAY 02/11/2024 - moved 3 animals from property ID 277 (saleyard) to property ID 256 (farm)
1,277,248,DAY 02/11/2024 - moved 2 animals from property ID 277 (saleyard) to property ID 248 (farm)
